idCarpeta;Delito;Categoria;FechaHecho;Año_hecho;Mes_hecho;Mes_año_hecho;Sexo;Edad;TipoPersona;CalidadJuridica;lon;lat;geopoint
;ROBO A REPARTIDOR CON VIOLENCIA;;02/05/19 13:40;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.02423733;19.25527502;19.25527502, -99.02423733
;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;;03/05/19 3:00;2019;Mayo;2019_05;Masculino;53;FISICA;VICTIMA Y DENUNCIANTE;-99.04029127;19.3865064;19.3865064, -99.04029127
;ROBO A NEGOCIO SIN VIOLENCIA;;03/05/19 14:13;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA Y DENUNCIANTE;-99.12181879;19.47216501;19.47216501, -99.12181879
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;03/05/19 13:55;2019;Mayo;2019_05;Masculino;16;FISICA;VICTIMA Y DENUNCIANTE;-99.05866501;19.39764362;19.39764362, -99.05866501
;CORRUPCION DE MENORES;;01/05/19 10:00;2019;Mayo;2019_05;Femenino;15;FISICA;VICTIMA;-99.12101176;19.4339456;19.4339456, -99.12101176
;AMENAZAS;;02/05/19 12:00;2019;Mayo;2019_05;Masculino;31;FISICA;VICTIMA Y DENUNCIANTE;-99.1459813;19.412202;19.412202, -99.1459813
;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;;02/05/19 22:00;2019;Mayo;2019_05;Masculino;46;FISICA;VICTIMA Y DENUNCIANTE;-99.06472937;19.40986446;19.40986446, -99.06472937
;VIOLENCIA FAMILIAR;;03/05/19 2:40;2019;Mayo;2019_05;Femenino;26;FISICA;VICTIMA Y DENUNCIANTE;-99.17570442;19.45177579;19.45177579, -99.17570442
;ROBO A NEGOCIO SIN VIOLENCIA;;03/05/19 15:00;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.2021931;19.4356367;19.4356367, -99.2021931
;LESIONES CULPOSAS POR CAIDA;;03/05/19 7:30;2019;Mayo;2019_05;Femenino;2;FISICA;VICTIMA;NA;NA;
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;03/05/19 16:10;2019;Mayo;2019_05;Femenino;44;FISICA;VICTIMA Y DENUNCIANTE;-99.11412404;19.4793647;19.4793647, -99.11412404
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;03/05/19 15:50;2019;Mayo;2019_05;Femenino;22;FISICA;VICTIMA Y DENUNCIANTE;-99.0209987;19.3454298;19.3454298, -99.0209987
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;03/05/19 16:15;2019;Mayo;2019_05;Masculino;41;FISICA;VICTIMA Y DENUNCIANTE;-99.170645;19.4130698;19.4130698, -99.170645
;ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA;;03/05/19 12:30;2019;Mayo;2019_05;Masculino;25;FISICA;VICTIMA Y DENUNCIANTE;-99.12284352;19.40907374;19.40907374, -99.12284352
;VIOLENCIA FAMILIAR;;03/05/19 12:30;2019;Mayo;2019_05;Masculino;68;FISICA;VICTIMA Y DENUNCIANTE;-99.16248187;19.46133196;19.46133196, -99.16248187
;ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA;;02/05/19 8:00;2019;Mayo;2019_05;Masculino;37;FISICA;VICTIMA Y DENUNCIANTE;-99.1607239;19.4419006;19.4419006, -99.1607239
;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;;03/05/19 6:30;2019;Mayo;2019_05;Femenino;32;FISICA;VICTIMA Y DENUNCIANTE;-99.07523911;19.3933663;19.3933663, -99.07523911
;ROBO DE VEHICULO DE PEDALES;;03/05/19 18:00;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.1849124;19.3534217;19.3534217, -99.1849124
;VIOLENCIA FAMILIAR;;02/05/19 23:00;2019;Mayo;2019_05;Masculino;8;FISICA;VICTIMA;-99.1428639;19.564805;19.564805, -99.1428639
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;03/05/19 5:00;2019;Mayo;2019_05;Femenino;25;FISICA;VICTIMA Y DENUNCIANTE;-99.01390188;19.33925649;19.33925649, -99.01390188
;EXTORSION;;03/05/19 13:42;2019;Mayo;2019_05;Femenino;41;FISICA;VICTIMA Y DENUNCIANTE;-99.223681;19.31443118;19.31443118, -99.223681
;ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA;;03/05/19 16:25;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.20531128;19.42440734;19.42440734, -99.20531128
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;03/05/19 17:58;2019;Mayo;2019_05;Masculino;41;FISICA;VICTIMA Y DENUNCIANTE;-99.1540561;19.4225552;19.4225552, -99.1540561
;HOMICIDIOS INTENCIONALES (OTROS);;03/05/19 18:30;2019;Mayo;2019_05;Masculino;41;FISICA;CADAVER;-99.00512341;19.33677952;19.33677952, -99.00512341
;VIOLENCIA FAMILIAR;;02/05/19 17:40;2019;Mayo;2019_05;Femenino;39;FISICA;VICTIMA Y DENUNCIANTE;-99.140014;19.32537899;19.32537899, -99.140014
;ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA;;03/05/19 10:30;2019;Mayo;2019_05;Femenino;33;FISICA;VICTIMA Y DENUNCIANTE;-99.04525996;19.39105062;19.39105062, -99.04525996
;HOMICIDIO POR ARMA BLANCA;;03/05/19 19:30;2019;Mayo;2019_05;Masculino;20;FISICA;CADAVER;-99.1427044;19.3977998;19.3977998, -99.1427044
;FRAUDE;;01/05/19 8:48;2019;Mayo;2019_05;Femenino;60;FISICA;VICTIMA Y DENUNCIANTE;-99.203991;19.4052043;19.4052043, -99.203991
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;29/05/19 13:00;2019;Mayo;2019_05;Femenino;18;FISICA;VICTIMA Y DENUNCIANTE;-99.17103303;19.44186745;19.44186745, -99.17103303
;VIOLENCIA FAMILIAR;;25/05/19 17:30;2019;Mayo;2019_05;Femenino;65;FISICA;VICTIMA Y DENUNCIANTE;-98.96171455;19.31835011;19.31835011, -98.96171455
;ROBO DE ACCESORIOS DE AUTO;;29/05/19 7:00;2019;Mayo;2019_05;Masculino;40;FISICA;VICTIMA Y DENUNCIANTE;-99.06615802;19.38364547;19.38364547, -99.06615802
;LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION;;20/05/19 15:00;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.165384;19.2837511;19.2837511, -99.165384
;LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION;;29/05/19 13:00;2019;Mayo;2019_05;Masculino;32;FISICA;LESIONADO;-99.17152739;19.43296251;19.43296251, -99.17152739
;ROBO A PASAJERO A BORDO DE TRANSPORTE PÚBLICO CON VIOLENCIA;;29/05/19 12:00;2019;Mayo;2019_05;Masculino;82;FISICA;LESIONADO;NA;NA;
;LA ADMINISTRACION DE JUSTICIA;;03/05/19 10:00;2019;Mayo;2019_05;Masculino;54;FISICA;VICTIMA Y DENUNCIANTE;-99.2853965;19.3714079;19.3714079, -99.2853965
;DAÑO EN PROPIEDAD AJENA CULPOSA;;12/05/19 20:00;2019;Mayo;2019_05;Femenino;43;FISICA;VICTIMA Y DENUNCIANTE;-99.14476037;19.45730512;19.45730512, -99.14476037
;AMENAZAS;;29/05/19 15:00;2019;Mayo;2019_05;Femenino;64;FISICA;VICTIMA Y DENUNCIANTE;-99.07032385;19.42857998;19.42857998, -99.07032385
;VIOLENCIA FAMILIAR;;22/05/19 12:00;2019;Mayo;2019_05;Femenino;7;FISICA;VICTIMA;-99.05811513;19.44785535;19.44785535, -99.05811513
;ROBO DE ACCESORIOS DE AUTO;;29/05/19 9:00;2019;Mayo;2019_05;Masculino;36;FISICA;VICTIMA Y DENUNCIANTE;-99.1788088;19.4185249;19.4185249, -99.1788088
;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;;27/05/19 15:30;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.0363106;19.2962744;19.2962744, -99.0363106
;LESIONES CULPOSAS POR TRANSITO VEHICULAR;;29/05/19 7:50;2019;Mayo;2019_05;Femenino;26;FISICA;VICTIMA Y DENUNCIANTE;-99.1713848;19.4178938;19.4178938, -99.1713848
;TENTATIVA DE EXTORSION;;28/05/19 21:52;2019;Mayo;2019_05;Femenino;26;FISICA;VICTIMA Y DENUNCIANTE;-99.05123838;19.3226169;19.3226169, -99.05123838
;PERDIDA DE LA VIDA POR PARO CARDIACO;;29/05/19 15:30;2019;Mayo;2019_05;Masculino;40;FISICA;CADAVER;-99.18999375;19.48187268;19.48187268, -99.18999375
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;28/05/19 14:45;2019;Mayo;2019_05;Femenino;34;FISICA;VICTIMA Y DENUNCIANTE;-99.1211804;19.441358;19.441358, -99.1211804
;AMENAZAS;;05/05/19 8:30;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;-98.9698962;19.30911921;19.30911921, -98.9698962
;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;;29/05/19 12:00;2019;Mayo;2019_05;Masculino;29;FISICA;VICTIMA Y DENUNCIANTE;-99.02068509;19.34533237;19.34533237, -99.02068509
;VIOLENCIA FAMILIAR;;29/05/19 14:00;2019;Mayo;2019_05;Femenino;57;FISICA;VICTIMA Y DENUNCIANTE;-99.05685821;19.29687185;19.29687185, -99.05685821
;ABUSO SEXUAL;;19/05/19 12:00;2019;Mayo;2019_05;Femenino;5;FISICA;VICTIMA;-99.1167419;19.2377638;19.2377638, -99.1167419
;DESPOJO;;29/05/19 11:39;2019;Mayo;2019_05;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.2205791;19.3699859;19.3699859, -99.2205791
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;29/05/19 17:10;2019;Mayo;2019_05;Masculino;24;FISICA;VICTIMA Y DENUNCIANTE;-99.1254349;19.4476775;19.4476775, -99.1254349
;LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION;;25/05/19 7:30;2019;Mayo;2019_05;Masculino;33;FISICA;VICTIMA;-99.18360179;19.38388482;19.38388482, -99.18360179
;DENUNCIA DE HECHOS;;26/05/19 6:35;2019;Mayo;2019_05;Femenino;27;FISICA;VICTIMA Y DENUNCIANTE;-99.10359931;19.47088093;19.47088093, -99.10359931
;AMENAZAS;;28/05/19 21:00;2019;Mayo;2019_05;Masculino;60;FISICA;VICTIMA Y DENUNCIANTE;-99.2082079;19.4375865;19.4375865, -99.2082079
;DESPOJO;;22/05/19 12:00;2019;Mayo;2019_05;Femenino;NA;FISICA;VICTIMA;-99.25546541;19.31425234;19.31425234, -99.25546541
;DDH FRVT;;25/05/19 8:15;2019;Mayo;2019_05;Masculino;28;FISICA;VICTIMA Y DENUNCIANTE;-99.17824187;19.38966613;19.38966613, -99.17824187
;ROBO DE MOTOCICLETA CON VIOLENCIA;;29/05/19 16:20;2019;Mayo;2019_05;Masculino;33;FISICA;VICTIMA Y DENUNCIANTE;-99.175619;19.2472225;19.2472225, -99.175619
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;29/05/19 6:15;2019;Mayo;2019_05;Masculino;25;FISICA;VICTIMA Y DENUNCIANTE;-99.17113703;19.30217419;19.30217419, -99.17113703
;FRAUDE;;29/05/19 17:30;2019;Mayo;2019_05;Femenino;20;FISICA;VICTIMA Y DENUNCIANTE;-99.16208345;19.37095801;19.37095801, -99.16208345
;AMENAZAS;;29/05/19 12:15;2019;Mayo;2019_05;Femenino;27;FISICA;VICTIMA Y DENUNCIANTE;-99.01942918;19.24912232;19.24912232, -99.01942918
;ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA;;29/05/19 15:40;2019;Mayo;2019_05;Masculino;41;FISICA;VICTIMA Y DENUNCIANTE;-99.14470049;19.49244236;19.49244236, -99.14470049
;ROBO A NEGOCIO SIN VIOLENCIA;;28/05/19 7:30;2019;Mayo;2019_05;Masculino;26;FISICA;VICTIMA Y DENUNCIANTE;-99.13739102;19.43294673;19.43294673, -99.13739102
;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;;29/05/19 19:28;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.17584893;19.28440545;19.28440545, -99.17584893
;DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL;;29/05/19 11:45;2019;Mayo;2019_05;Masculino;57;FISICA;VICTIMA Y DENUNCIANTE;-99.18503165;19.34839561;19.34839561, -99.18503165
;ROBO A CASA HABITACION SIN VIOLENCIA;;29/05/19 11:58;2019;Mayo;2019_05;Femenino;41;FISICA;VICTIMA Y DENUNCIANTE;-99.05548548;19.29081274;19.29081274, -99.05548548
;USURPACIÓN DE IDENTIDAD;;28/05/19 13:34;2019;Mayo;2019_05;Femenino;28;FISICA;VICTIMA Y DENUNCIANTE;-99.11783857;19.48064008;19.48064008, -99.11783857
;VIOLACION;;28/05/19 23:00;2019;Mayo;2019_05;Femenino;16;FISICA;VICTIMA;-99.15585668;19.44103039;19.44103039, -99.15585668
;FRAUDE;;28/05/19 16:00;2019;Mayo;2019_05;Masculino;23;FISICA;VICTIMA Y DENUNCIANTE;-99.12452338;19.27432731;19.27432731, -99.12452338
;FALSIFICACION DE TITULOS AL PORTADOR Y DOCUMENTOS DE CREDITO PUBLICO;;27/05/19 11:07;2019;Mayo;2019_05;Femenino;34;FISICA;VICTIMA Y DENUNCIANTE;-99.1616156;19.2974842;19.2974842, -99.1616156
;VIOLENCIA FAMILIAR;;28/05/19 22:00;2019;Mayo;2019_05;Femenino;32;FISICA;VICTIMA Y DENUNCIANTE;-99.1026745;19.4200477;19.4200477, -99.1026745
;ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA;;28/05/19 18:00;2019;Mayo;2019_05;Masculino;40;FISICA;VICTIMA Y DENUNCIANTE;-99.15402163;19.49518131;19.49518131, -99.15402163
;VIOLENCIA FAMILIAR;;28/05/19 14:50;2019;Mayo;2019_05;Femenino;19;FISICA;VICTIMA Y DENUNCIANTE;-99.10064195;19.26480139;19.26480139, -99.10064195
;FRAUDE;;29/05/19 16:45;2019;Mayo;2019_05;Femenino;39;FISICA;VICTIMA Y DENUNCIANTE;-99.11470303;19.45438606;19.45438606, -99.11470303
;VIOLENCIA FAMILIAR;;29/05/19 16:00;2019;Mayo;2019_05;Femenino;20;FISICA;VICTIMA Y DENUNCIANTE;-99.13879848;19.47705396;19.47705396, -99.13879848
;ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA;;29/05/19 14:20;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.1270416;19.2618204;19.2618204, -99.1270416
;VIOLENCIA FAMILIAR;;29/05/19 21:00;2019;Mayo;2019_05;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.1068999;19.2643494;19.2643494, -99.1068999
;QUEBRANTAMIENTO DE SELLOS;;06/05/19 12:00;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.1726778;19.4124457;19.4124457, -99.1726778
;ROBO DE MOTOCICLETA SIN VIOLENCIA;;16/05/19 8:00;2019;Mayo;2019_05;Masculino;27;FISICA;VICTIMA Y DENUNCIANTE;-99.16627649;19.41714027;19.41714027, -99.16627649
;ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA;;29/05/19 9:30;2019;Mayo;2019_05;Masculino;36;FISICA;VICTIMA Y DENUNCIANTE;-99.07179344;19.4063444;19.4063444, -99.07179344
;ABUSO SEXUAL;;29/05/19 18:30;2019;Mayo;2019_05;Femenino;15;FISICA;VICTIMA;-99.1415266;19.4597948;19.4597948, -99.1415266
;ROBO DE ACCESORIOS DE AUTO;;27/05/19 13:00;2019;Mayo;2019_05;Masculino;32;FISICA;VICTIMA Y DENUNCIANTE;-99.1772368;19.4160537;19.4160537, -99.1772368
;VIOLENCIA FAMILIAR;;25/05/19 2:00;2019;Mayo;2019_05;Femenino;30;FISICA;VICTIMA Y DENUNCIANTE;-99.10851473;19.26200574;19.26200574, -99.10851473
;ROBO A REPARTIDOR CON VIOLENCIA;;14/05/19 13:17;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.04582414;19.37653119;19.37653119, -99.04582414
;LESIONES INTENCIONALES;;25/05/19 0:30;2019;Mayo;2019_05;Masculino;18;FISICA;VICTIMA Y DENUNCIANTE;-99.1861436;19.3936327;19.3936327, -99.1861436
;LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION;;29/05/19 22:00;2019;Mayo;2019_05;Femenino;21;FISICA;VICTIMA Y DENUNCIANTE;-99.16587519;19.42335445;19.42335445, -99.16587519
;PERSONAS EXTRAVIADAS;;25/05/19 12:00;2019;Mayo;2019_05;Femenino;28;FISICA;VICTIMA Y DENUNCIANTE;-99.21574638;19.38207448;19.38207448, -99.21574638
;ROBO A NEGOCIO SIN VIOLENCIA;;07/05/19 23:00;2019;Mayo;2019_05;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.15806814;19.2933148;19.2933148, -99.15806814
;PERDIDA DE LA VIDA POR SUICIDIO;;29/05/19 23:57;2019;Mayo;2019_05;Masculino;26;FISICA;CADAVER;-99.10901846;19.48629551;19.48629551, -99.10901846
;HOMICIDIO POR ARMA DE FUEGO;;29/05/19 23:20;2019;Mayo;2019_05;Masculino;41;FISICA;CADAVER;NA;NA;
;ROBO DE VEHICULO DE SERVICIO PÚBLICO CON VIOLENCIA;;29/05/19 20:00;2019;Mayo;2019_05;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.0867358;19.4410352;19.4410352, -99.0867358
;TORTURA;;27/05/19 12:35;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;NA;NA;
;ROBO A REPARTIDOR CON VIOLENCIA;;17/05/19 10:50;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;-98.99985729;19.29257087;19.29257087, -98.99985729
;ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA;;29/05/19 22:00;2019;Mayo;2019_05;Masculino;26;FISICA;VICTIMA Y DENUNCIANTE;-99.11192854;19.34995541;19.34995541, -99.11192854
;VIOLENCIA FAMILIAR;;30/05/19 7:50;2019;Mayo;2019_05;Femenino;45;FISICA;VICTIMA Y DENUNCIANTE;-99.0671701;19.4285262;19.4285262, -99.0671701
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;29/05/19 11:00;2019;Mayo;2019_05;Masculino;22;FISICA;VICTIMA Y DENUNCIANTE;-99.09256351;19.39050962;19.39050962, -99.09256351
;DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL;;30/05/19 6:40;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA;-99.07976584;19.37289191;19.37289191, -99.07976584
;VIOLENCIA FAMILIAR;;29/05/19 15:00;2019;Mayo;2019_05;Masculino;27;FISICA;VICTIMA Y DENUNCIANTE;-99.16939284;19.52553602;19.52553602, -99.16939284
;ROBO DE ACCESORIOS DE AUTO;;30/05/19 8:00;2019;Mayo;2019_05;Masculino;37;FISICA;VICTIMA Y DENUNCIANTE;-99.1469614;19.19973702;19.19973702, -99.1469614
;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;;29/05/19 10:15;2019;Mayo;2019_05;Masculino;29;FISICA;VICTIMA Y DENUNCIANTE;-99.2267582;19.3840182;19.3840182, -99.2267582
;ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA;;30/05/19 9:00;2019;Mayo;2019_05;Femenino;36;FISICA;VICTIMA Y DENUNCIANTE;-99.18837374;19.40312059;19.40312059, -99.18837374
;VIOLENCIA FAMILIAR;;29/05/19 23:15;2019;Mayo;2019_05;Femenino;33;FISICA;VICTIMA Y DENUNCIANTE;-99.11818543;19.24183231;19.24183231, -99.11818543
;AMENAZAS;;29/05/19 11:11;2019;Mayo;2019_05;Femenino;12;FISICA;VICTIMA;-99.09152745;19.38932896;19.38932896, -99.09152745
;ROBO DE OBJETOS A ESCUELA;;29/05/19 9:00;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.06683673;19.41105291;19.41105291, -99.06683673
;ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA;;09/05/19 16:00;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.21147209;19.39272438;19.39272438, -99.21147209
;LESIONES INTENCIONALES POR ARMA DE FUEGO;;30/05/19 0:00;2019;Mayo;2019_05;Masculino;38;FISICA;LESIONADO;-99.1101034;19.4233504;19.4233504, -99.1101034
;LESIONES CULPOSAS POR TRANSITO VEHICULAR;;21/05/19 21:00;2019;Mayo;2019_05;Masculino;46;FISICA;LESIONADO;-99.1277315;19.5474308;19.5474308, -99.1277315
;DAÑO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL;;13/05/19 10:00;2019;Mayo;2019_05;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.11704901;19.46893924;19.46893924, -99.11704901
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;29/05/19 11:00;2019;Mayo;2019_05;Masculino;70;FISICA;VICTIMA Y DENUNCIANTE;-99.07807352;19.37473486;19.37473486, -99.07807352
;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;;23/05/19 12:32;2019;Mayo;2019_05;Masculino;42;FISICA;VICTIMA Y DENUNCIANTE;-99.25941137;19.36710198;19.36710198, -99.25941137
;FRAUDE;;29/05/19 15:00;2019;Mayo;2019_05;Masculino;33;FISICA;VICTIMA Y DENUNCIANTE;-99.01078708;19.36829896;19.36829896, -99.01078708
;AMENAZAS;;30/05/19 9:00;2019;Mayo;2019_05;Femenino;21;FISICA;VICTIMA Y DENUNCIANTE;-99.1530022;19.4139076;19.4139076, -99.1530022
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;23/05/19 23:50;2019;Mayo;2019_05;Masculino;71;FISICA;VICTIMA Y DENUNCIANTE;-99.1564994;19.3770648;19.3770648, -99.1564994
;ROBO A REPARTIDOR CON VIOLENCIA;;29/05/19 22:15;2019;Mayo;2019_05;Masculino;20;FISICA;VICTIMA Y DENUNCIANTE;-99.11202273;19.39451536;19.39451536, -99.11202273
;VIOLENCIA FAMILIAR;;29/05/19 2:00;2019;Mayo;2019_05;Femenino;25;FISICA;VICTIMA Y DENUNCIANTE;-99.07388006;19.49690521;19.49690521, -99.07388006
;ROBO DE OBJETOS;;30/05/19 10:24;2019;Mayo;2019_05;Masculino;43;FISICA;VICTIMA Y DENUNCIANTE;-99.1630239;19.42963767;19.42963767, -99.1630239
;VIOLENCIA FAMILIAR;;29/05/19 18:30;2019;Mayo;2019_05;Femenino;54;FISICA;VICTIMA Y DENUNCIANTE;-99.00383488;19.27131317;19.27131317, -99.00383488
;FRAUDE;;29/05/19 13:05;2019;Mayo;2019_05;Masculino;36;FISICA;VICTIMA Y DENUNCIANTE;-99.1444544;19.2877111;19.2877111, -99.1444544
;ROBO DE OBJETOS;;30/05/19 8:00;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.18716352;19.4030259;19.4030259, -99.18716352
;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;;29/05/19 8:20;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.16540767;19.42849311;19.42849311, -99.16540767
;ROBO DE OBJETOS;;14/05/19 10:00;2019;Mayo;2019_05;Masculino;58;FISICA;VICTIMA Y DENUNCIANTE;-99.0890102;19.2595714;19.2595714, -99.0890102
;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;;29/05/19 17:00;2019;Mayo;2019_05;Femenino;46;FISICA;VICTIMA Y DENUNCIANTE;-99.17735391;19.37690234;19.37690234, -99.17735391
;VIOLENCIA FAMILIAR;;26/05/19 21:00;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA;-99.24496495;19.33175203;19.33175203, -99.24496495
;FRAUDE;;29/05/19 17:00;2019;Mayo;2019_05;Masculino;35;FISICA;VICTIMA Y DENUNCIANTE;-99.15544948;19.40203741;19.40203741, -99.15544948
;ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA;;28/05/19 18:00;2019;Mayo;2019_05;Masculino;52;FISICA;VICTIMA Y DENUNCIANTE;-99.0356545;19.385145;19.385145, -99.0356545
;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;;30/05/19 12:15;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.08416167;19.32029366;19.32029366, -99.08416167
;VIOLENCIA FAMILIAR;;30/05/19 10:40;2019;Mayo;2019_05;Femenino;17;FISICA;VICTIMA;-99.0963858;19.2347357;19.2347357, -99.0963858
;ROBO DE OBJETOS;;21/05/19 11:00;2019;Mayo;2019_05;Femenino;35;FISICA;VICTIMA Y DENUNCIANTE;-99.15327304;19.40207007;19.40207007, -99.15327304
;ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA;;27/05/19 8:00;2019;Mayo;2019_05;Femenino;24;FISICA;VICTIMA Y DENUNCIANTE;-99.17924575;19.50253781;19.50253781, -99.17924575
;ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA;;30/05/19 13:15;2019;Mayo;2019_05;Masculino;50;FISICA;VICTIMA Y DENUNCIANTE;-99.13570578;19.40915834;19.40915834, -99.13570578
;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;;18/05/19 6:30;2019;Mayo;2019_05;Masculino;62;FISICA;VICTIMA Y DENUNCIANTE;-99.10383278;19.31156595;19.31156595, -99.10383278
;ROBO DE ACCESORIOS DE AUTO;;18/05/19 8:00;2019;Mayo;2019_05;Masculino;51;FISICA;VICTIMA Y DENUNCIANTE;-99.21459935;19.32987997;19.32987997, -99.21459935
;ROBO A CASA HABITACION CON VIOLENCIA;;17/05/19 3:00;2019;Mayo;2019_05;Masculino;29;FISICA;VICTIMA Y DENUNCIANTE;-99.12242326;19.39357103;19.39357103, -99.12242326
;ROBO DE ACCESORIOS DE AUTO;;18/05/19 10:30;2019;Mayo;2019_05;Femenino;NA;FISICA;VICTIMA;-99.19678419;19.34099897;19.34099897, -99.19678419
;ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA;;17/05/19 14:15;2019;Mayo;2019_05;Masculino;70;FISICA;VICTIMA Y DENUNCIANTE;-99.12496849;19.42551845;19.42551845, -99.12496849
;DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL;;18/05/19 5:15;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.1036122;19.4864665;19.4864665, -99.1036122
;ROBO A NEGOCIO SIN VIOLENCIA;;17/05/19 14:30;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.1380779;19.4363627;19.4363627, -99.1380779
;AMENAZAS;;18/05/19 13:00;2019;Mayo;2019_05;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.10332487;19.44004869;19.44004869, -99.10332487
;FRAUDE;;12/05/19 15:15;2019;Mayo;2019_05;Masculino;55;FISICA;VICTIMA Y DENUNCIANTE;-99.1337137;19.4918706;19.4918706, -99.1337137
